Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Campo do Meio (MG)";311130;0,431;0,576;0,683;0,579;0,625;0,655;0,683;0,788;0,827;0,202;0,389;0,588
"Campo Florido (MG)";311140;0,507;0,587;0,706;0,661;0,639;0,735;0,719;0,771;0,858;0,275;0,411;0,558
"Campos Altos (MG)";311150;0,465;0,617;0,702;0,612;0,662;0,690;0,730;0,827;0,860;0,225;0,429;0,582
"Campos Gerais (MG)";311160;0,412;0,573;0,682;0,565;0,633;0,666;0,690;0,789;0,821;0,179;0,376;0,580
"Canaã (MG)";311170;0,358;0,516;0,649;0,404;0,534;0,644;0,666;0,711;0,798;0,171;0,362;0,532
"Canápolis (MG)";311180;0,449;0,570;0,722;0,577;0,623;0,721;0,727;0,791;0,872;0,216;0,375;0,598
"Cana Verde (MG)";311190;0,375;0,564;0,650;0,529;0,619;0,652;0,703;0,784;0,821;0,142;0,370;0,512
"Candeias (MG)";311200;0,378;0,555;0,678;0,527;0,642;0,699;0,719;0,757;0,830;0,142;0,352;0,537
"Cantagalo (MG)";311205;0,320;0,488;0,631;0,453;0,522;0,598;0,675;0,715;0,816;0,107;0,311;0,515
"Caparaó (MG)";311210;0,368;0,519;0,624;0,546;0,609;0,614;0,697;0,797;0,836;0,131;0,288;0,473
"Capela Nova (MG)";311220;0,414;0,483;0,648;0,502;0,537;0,602;0,659;0,751;0,797;0,215;0,280;0,568
"Capelinha (MG)";311230;0,355;0,490;0,653;0,513;0,574;0,641;0,625;0,720;0,824;0,140;0,285;0,527
"Capetinga (MG)";311240;0,396;0,580;0,675;0,587;0,653;0,680;0,710;0,805;0,848;0,149;0,372;0,533
"Capim Branco (MG)";311250;0,479;0,588;0,695;0,565;0,603;0,664;0,701;0,761;0,837;0,277;0,444;0,604
"Capinópolis (MG)";311260;0,470;0,629;0,723;0,616;0,661;0,747;0,727;0,787;0,841;0,232;0,478;0,601
"Capitão Andrade (MG)";311265;0,304;0,494;0,624;0,485;0,526;0,630;0,630;0,719;0,805;0,092;0,319;0,478
"Capitão Enéas (MG)";311270;0,367;0,506;0,639;0,493;0,519;0,573;0,652;0,706;0,806;0,154;0,353;0,565
"Capitólio (MG)";311280;0,489;0,618;0,710;0,606;0,663;0,709;0,734;0,792;0,825;0,263;0,449;0,612
"Caputira (MG)";311290;0,300;0,529;0,615;0,444;0,605;0,609;0,609;0,709;0,809;0,100;0,345;0,471
"Caraí (MG)";311300;0,249;0,424;0,558;0,422;0,487;0,549;0,652;0,698;0,781;0,056;0,225;0,405
"Caranaíba (MG)";311310;0,342;0,535;0,634;0,432;0,524;0,593;0,689;0,753;0,807;0,134;0,389;0,533
"Carandaí (MG)";311320;0,409;0,572;0,697;0,538;0,594;0,663;0,711;0,791;0,821;0,179;0,399;0,622
"Carangola (MG)";311330;0,499;0,637;0,695;0,581;0,702;0,699;0,729;0,784;0,837;0,293;0,470;0,573
"Caratinga (MG)";311340;0,442;0,606;0,706;0,567;0,659;0,697;0,688;0,751;0,836;0,221;0,450;0,603
"Carbonita (MG)";311350;0,308;0,482;0,638;0,451;0,529;0,617;0,666;0,709;0,796;0,097;0,298;0,529
"Careaçu (MG)";311360;0,460;0,608;0,683;0,568;0,646;0,666;0,744;0,814;0,824;0,230;0,428;0,581
"Carlos Chagas (MG)";311370;0,393;0,524;0,648;0,537;0,595;0,641;0,636;0,737;0,826;0,178;0,328;0,513
"Carmésia (MG)";311380;0,371;0,521;0,650;0,478;0,548;0,631;0,684;0,744;0,805;0,156;0,347;0,540
"Carmo da Cachoeira (MG)";311390;0,411;0,564;0,655;0,565;0,628;0,672;0,684;0,788;0,801;0,179;0,362;0,523
"Carmo da Mata (MG)";311400;0,460;0,581;0,689;0,542;0,653;0,680;0,680;0,737;0,840;0,264;0,407;0,572
"Carmo de Minas (MG)";311410;0,415;0,558;0,682;0,570;0,625;0,668;0,719;0,785;0,845;0,175;0,354;0,562
"Carmo do Cajuru (MG)";311420;0,428;0,612;0,710;0,546;0,619;0,695;0,731;0,801;0,853;0,197;0,463;0,605
"Carmo do Paranaíba (MG)";311430;0,505;0,642;0,705;0,600;0,679;0,713;0,744;0,829;0,861;0,289;0,471;0,571
"Carmo do Rio Claro (MG)";311440;0,448;0,628;0,733;0,551;0,629;0,715;0,720;0,816;0,850;0,226;0,482;0,649
"Carmópolis de Minas (MG)";311450;0,396;0,565;0,700;0,521;0,635;0,694;0,721;0,783;0,850;0,165;0,362;0,582
"Carneirinho (MG)";311455;0,409;0,607;0,741;0,613;0,665;0,749;0,700;0,800;0,873;0,160;0,421;0,622
"Carrancas (MG)";311460;0,426;0,599;0,725;0,546;0,615;0,687;0,697;0,787;0,877;0,203;0,444;0,632
"Carvalhópolis (MG)";311470;0,450;0,569;0,724;0,527;0,582;0,688;0,710;0,809;0,850;0,244;0,391;0,648
"Carvalhos (MG)";311480;0,414;0,507;0,646;0,518;0,570;0,667;0,715;0,761;0,820;0,191;0,300;0,492
"Casa Grande (MG)";311490;0,401;0,533;0,652;0,437;0,585;0,608;0,652;0,720;0,823;0,226;0,359;0,555
"Cascalho Rico (MG)";311500;0,445;0,620;0,721;0,587;0,641;0,734;0,727;0,815;0,845;0,206;0,457;0,604
"Cássia (MG)";311510;0,494;0,617;0,704;0,628;0,670;0,723;0,734;0,810;0,837;0,261;0,433;0,576
"Cataguases (MG)";311530;0,534;0,659;0,751;0,601;0,666;0,718;0,748;0,805;0,861;0,338;0,533;0,685
"Catas Altas (MG)";311535;0,423;0,592;0,684;0,564;0,589;0,665;0,717;0,813;0,828;0,187;0,433;0,582
"Catas Altas da Noruega (MG)";311540;0,315;0,485;0,600;0,406;0,499;0,588;0,652;0,710;0,799;0,118;0,323;0,460
"Catuji (MG)";311545;0,211;0,405;0,540;0,400;0,490;0,534;0,598;0,678;0,771;0,039;0,200;0,382
"Catuti (MG)";311547;0,205;0,413;0,621;0,362;0,437;0,563;0,628;0,671;0,773;0,038;0,241;0,549
"Caxambu (MG)";311550;0,538;0,649;0,743;0,608;0,674;0,770;0,738;0,813;0,848;0,348;0,500;0,629
"Cedro do Abaeté (MG)";311560;0,413;0,560;0,678;0,505;0,568;0,641;0,717;0,771;0,801;0,194;0,402;0,608
"Central de Minas (MG)";311570;0,418;0,539;0,665;0,502;0,575;0,663;0,669;0,728;0,823;0,217;0,374;0,540
"Centralina (MG)";311580;0,512;0,572;0,678;0,569;0,609;0,654;0,675;0,751;0,853;0,350;0,410;0,558
"Chácara (MG)";311590;0,429;0,561;0,664;0,594;0,609;0,650;0,695;0,776;0,878;0,191;0,373;0,512
"Chalé (MG)";311600;0,383;0,583;0,655;0,490;0,576;0,636;0,678;0,766;0,787;0,169;0,449;0,561
"Chapada do Norte (MG)";311610;0,264;0,427;0,598;0,461;0,498;0,571;0,698;0,729;0,798;0,057;0,215;0,469
"Chapada Gaúcha (MG)";311615;0,208;0,484;0,635;0,438;0,555;0,573;0,682;0,734;0,820;0,030;0,279;0,546
"Chiador (MG)";311620;0,456;0,590;0,711;0,490;0,603;0,742;0,718;0,805;0,868;0,269;0,424;0,559
"Cipotânea (MG)";311630;0,313;0,436;0,579;0,394;0,475;0,592;0,630;0,659;0,750;0,123;0,265;0,437
"Claraval (MG)";311640;0,412;0,505;0,698;0,590;0,603;0,687;0,684;0,772;0,848;0,173;0,276;0,584
"Claro dos Poções (MG)";311650;0,318;0,537;0,670;0,444;0,521;0,601;0,652;0,701;0,799;0,111;0,423;0,625
"Cláudio (MG)";311660;0,431;0,597;0,709;0,562;0,629;0,701;0,673;0,744;0,846;0,212;0,455;0,602
"Coimbra (MG)";311670;0,413;0,581;0,669;0,511;0,603;0,649;0,697;0,784;0,825;0,198;0,414;0,558
"Coluna (MG)";311680;0,311;0,461;0,583;0,463;0,535;0,590;0,599;0,696;0,782;0,108;0,263;0,430
"Comendador Gomes (MG)";311690;0,413;0,619;0,697;0,640;0,670;0,703;0,725;0,812;0,850;0,152;0,437;0,566
"Comercinho (MG)";311700;0,259;0,413;0,593;0,395;0,428;0,566;0,606;0,698;0,797;0,073;0,236;0,462
"Conceição da Aparecida (MG)";311710;0,447;0,603;0,691;0,553;0,695;0,688;0,710;0,816;0,847;0,228;0,387;0,566
"Conceição da Barra de Minas (MG)";311520;0,387;0,538;0,685;0,438;0,552;0,668;0,653;0,713;0,815;0,202;0,396;0,590
"Conceição das Alagoas (MG)";311730;0,486;0,603;0,712;0,637;0,693;0,734;0,719;0,771;0,862;0,251;0,410;0,570
"Conceição das Pedras (MG)";311720;0,403;0,571;0,668;0,584;0,595;0,642;0,721;0,784;0,821;0,155;0,400;0,566
"Conceição de Ipanema (MG)";311740;0,367;0,536;0,676;0,517;0,606;0,664;0,649;0,750;0,825;0,147;0,339;0,565
"Conceição do Mato Dentro (MG)";311750;0,318;0,430;0,634;0,481;0,533;0,622;0,676;0,712;0,794;0,099;0,210;0,517
"Conceição do Pará (MG)";311760;0,473;0,572;0,700;0,559;0,573;0,687;0,703;0,808;0,850;0,270;0,404;0,588
"Conceição do Rio Verde (MG)";311770;0,432;0,581;0,665;0,550;0,659;0,675;0,719;0,776;0,834;0,204;0,383;0,522
"Conceição dos Ouros (MG)";311780;0,459;0,600;0,703;0,545;0,632;0,668;0,736;0,785;0,842;0,241;0,436;0,618
"Cônego Marinho (MG)";311783;0,306;0,440;0,621;0,390;0,402;0,550;0,664;0,734;0,799;0,111;0,289;0,544
"Confins (MG)";311787;0,464;0,634;0,747;0,538;0,607;0,706;0,702;0,796;0,830;0,265;0,527;0,711
"Congonhal (MG)";311790;0,473;0,590;0,712;0,605;0,623;0,681;0,719;0,743;0,847;0,244;0,443;0,626
"Congonhas (MG)";311800;0,495;0,637;0,753;0,611;0,645;0,732;0,685;0,787;0,877;0,290;0,510;0,665
"Congonhas do Norte (MG)";311810;0,294;0,451;0,568;0,454;0,529;0,566;0,664;0,712;0,746;0,084;0,243;0,433
"Conquista (MG)";311820;0,454;0,615;0,729;0,555;0,684;0,714;0,719;0,771;0,877;0,235;0,441;0,618
"Conselheiro Lafaiete (MG)";311830;0,537;0,666;0,761;0,612;0,669;0,736;0,747;0,771;0,860;0,338;0,573;0,697
"Conselheiro Pena (MG)";311840;0,411;0,578;0,662;0,527;0,634;0,646;0,664;0,766;0,837;0,199;0,397;0,537
"Consolação (MG)";311850;0,385;0,538;0,673;0,495;0,551;0,627;0,668;0,743;0,806;0,172;0,380;0,602
"Contagem (MG)";311860;0,512;0,651;0,756;0,631;0,683;0,745;0,688;0,751;0,832;0,309;0,537;0,697
"Coqueiral (MG)";311870;0,456;0,579;0,694;0,553;0,621;0,663;0,724;0,788;0,838;0,237;0,397;0,601
"Coração de Jesus (MG)";311880;0,328;0,517;0,642;0,451;0,550;0,575;0,652;0,733;0,808;0,120;0,343;0,570
"Cordisburgo (MG)";311890;0,415;0,567;0,656;0,521;0,611;0,644;0,694;0,731;0,786;0,198;0,409;0,558
"Cordislândia (MG)";311900;0,455;0,599;0,660;0,559;0,592;0,654;0,721;0,775;0,807;0,234;0,469;0,544
"Corinto (MG)";311910;0,452;0,595;0,680;0,578;0,622;0,664;0,664;0,742;0,842;0,241;0,456;0,562
"Coroaci (MG)";311920;0,338;0,501;0,626;0,433;0,570;0,613;0,618;0,715;0,811;0,144;0,309;0,493
"Coromandel (MG)";311930;0,488;0,653;0,708;0,599;0,663;0,730;0,728;0,826;0,860;0,266;0,509;0,565
"Coronel Fabriciano (MG)";311940;0,503;0,648;0,755;0,617;0,670;0,715;0,706;0,787;0,865;0,292;0,517;0,696
"Coronel Murta (MG)";311950;0,334;0,515;0,627;0,435;0,503;0,578;0,619;0,711;0,784;0,138;0,382;0,543
"Coronel Pacheco (MG)";311960;0,436;0,595;0,669;0,526;0,631;0,673;0,664;0,760;0,789;0,237;0,439;0,565
"Coronel Xavier Chaves (MG)";311970;0,342;0,529;0,677;0,477;0,553;0,670;0,715;0,736;0,823;0,117;0,364;0,563
"Córrego Danta (MG)";311980;0,424;0,596;0,692;0,577;0,644;0,683;0,690;0,789;0,844;0,192;0,417;0,575
"Córrego do Bom Jesus (MG)";311990;0,390;0,554;0,692;0,544;0,597;0,665;0,659;0,745;0,840;0,165;0,383;0,592
"Córrego Fundo (MG)";311995;0,373;0,519;0,678;0,535;0,597;0,657;0,687;0,756;0,795;0,141;0,309;0,597
"Córrego Novo (MG)";312000;0,340;0,480;0,632;0,454;0,532;0,596;0,695;0,740;0,805;0,125;0,281;0,525
"Couto de Magalhães de Minas (MG)";312010;0,404;0,537;0,659;0,546;0,558;0,600;0,622;0,728;0,807;0,194;0,381;0,592
"Crisólita (MG)";312015;0,279;0,416;0,585;0,434;0,518;0,579;0,606;0,711;0,799;0,083;0,195;0,432
"Cristais (MG)";312020;0,384;0,583;0,692;0,562;0,657;0,736;0,749;0,798;0,859;0,135;0,377;0,525
"Cristália (MG)";312030;0,280;0,452;0,583;0,424;0,451;0,518;0,674;0,747;0,795;0,077;0,274;0,482
"Cristiano Otoni (MG)";312040;0,442;0,562;0,695;0,513;0,584;0,651;0,714;0,761;0,823;0,235;0,399;0,626
"Cristina (MG)";312050;0,396;0,553;0,668;0,576;0,602;0,645;0,668;0,746;0,842;0,161;0,377;0,550
"Crucilândia (MG)";312060;0,378;0,520;0,651;0,638;0,645;0,653;0,673;0,757;0,816;0,126;0,288;0,518
"Cruzeiro da Fortaleza (MG)";312070;0,521;0,640;0,696;0,593;0,671;0,720;0,759;0,804;0,832;0,314;0,486;0,562
"Cruzília (MG)";312080;0,447;0,576;0,695;0,566;0,617;0,671;0,688;0,763;0,853;0,230;0,405;0,587
"Cuparaque (MG)";312083;0,399;0,527;0,627;0,514;0,571;0,621;0,701;0,783;0,798;0,176;0,327;0,497
"Curral de Dentro (MG)";312087;0,286;0,440;0,585;0,464;0,469;0,571;0,563;0,662;0,759;0,090;0,274;0,462
"Curvelo (MG)";312090;0,460;0,608;0,713;0,580;0,635;0,689;0,692;0,757;0,851;0,243;0,467;0,617
"Datas (MG)";312100;0,356;0,501;0,616;0,495;0,493;0,590;0,668;0,687;0,756;0,136;0,371;0,524
"Delfim Moreira (MG)";312110;0,384;0,524;0,669;0,561;0,598;0,649;0,690;0,771;0,837;0,146;0,312;0,552
"Delfinópolis (MG)";312120;0,356;0,576;0,740;0,560;0,628;0,702;0,704;0,784;0,872;0,114;0,388;0,661
"Delta (MG)";312125;0,424;0,557;0,639;0,587;0,628;0,672;0,719;0,771;0,808;0,181;0,356;0,481
"Descoberto (MG)";312130;0,399;0,563;0,680;0,503;0,614;0,657;0,704;0,776;0,798;0,180;0,375;0,599
"Desterro de Entre Rios (MG)";312140;0,329;0,508;0,639;0,431;0,533;0,607;0,689;0,763;0,802;0,120;0,322;0,536
"Desterro do Melo (MG)";312150;0,359;0,477;0,631;0,487;0,546;0,618;0,689;0,766;0,809;0,138;0,260;0,503
"Diamantina (MG)";312160;0,453;0,602;0,716;0,568;0,635;0,693;0,686;0,747;0,839;0,238;0,460;0,632
"Diogo de Vasconcelos (MG)";312170;0,293;0,463;0,601;0,467;0,475;0,578;0,654;0,715;0,811;0,082;0,292;0,464
"Dionísio (MG)";312180;0,406;0,556;0,702;0,496;0,547;0,651;0,644;0,742;0,821;0,210;0,424;0,647
"Divinésia (MG)";312190;0,363;0,582;0,657;0,458;0,592;0,645;0,659;0,759;0,785;0,158;0,438;0,559
"Divino (MG)";312200;0,318;0,503;0,605;0,531;0,586;0,639;0,628;0,723;0,823;0,096;0,300;0,421
"Divino das Laranjeiras (MG)";312210;0,400;0,594;0,661;0,477;0,630;0,624;0,663;0,715;0,811;0,203;0,466;0,571
"Divinolândia de Minas (MG)";312220;0,348;0,501;0,623;0,445;0,542;0,603;0,654;0,759;0,812;0,145;0,305;0,495
"Divinópolis (MG)";312230;0,535;0,686;0,764;0,636;0,706;0,753;0,765;0,827;0,844;0,314;0,554;0,702
"Divisa Alegre (MG)";312235;0,305;0,483;0,608;0,435;0,515;0,603;0,578;0,682;0,723;0,113;0,320;0,515
"Divisa Nova (MG)";312240;0,431;0,551;0,670;0,622;0,622;0,660;0,710;0,754;0,801;0,181;0,356;0,570
"Divisópolis (MG)";312245;0,247;0,445;0,609;0,430;0,507;0,577;0,625;0,711;0,802;0,056;0,244;0,489
"Dom Bosco (MG)";312247;0,342;0,538;0,673;0,536;0,554;0,627;0,697;0,797;0,815;0,107;0,352;0,597
"Dom Cavati (MG)";312250;0,440;0,596;0,688;0,571;0,629;0,660;0,687;0,751;0,784;0,217;0,449;0,630
"Dom Joaquim (MG)";312260;0,354;0,472;0,622;0,454;0,538;0,610;0,629;0,713;0,819;0,156;0,274;0,482
"Dom Silvério (MG)";312270;0,423;0,597;0,709;0,500;0,606;0,661;0,684;0,771;0,847;0,221;0,455;0,636
"Dom Viçoso (MG)";312280;0,387;0,558;0,687;0,526;0,559;0,617;0,671;0,746;0,819;0,164;0,417;0,641
"Dona Eusébia (MG)";312290;0,448;0,584;0,701;0,527;0,605;0,684;0,666;0,759;0,841;0,257;0,433;0,598
"Dores de Campos (MG)";312300;0,468;0,609;0,686;0,542;0,613;0,671;0,702;0,795;0,823;0,269;0,464;0,585
"Dores de Guanhães (MG)";312310;0,302;0,497;0,636;0,469;0,541;0,612;0,660;0,720;0,821;0,089;0,315;0,512
"Dores do Indaiá (MG)";312320;0,518;0,603;0,719;0,641;0,654;0,710;0,711;0,749;0,840;0,305;0,447;0,623
"Dores do Turvo (MG)";312330;0,367;0,509;0,629;0,467;0,569;0,613;0,690;0,770;0,829;0,154;0,301;0,490
"Doresópolis (MG)";312340;0,482;0,605;0,692;0,523;0,589;0,652;0,727;0,789;0,869;0,295;0,477;0,585
"Douradoquara (MG)";312350;0,438;0,609;0,706;0,578;0,636;0,704;0,728;0,804;0,847;0,200;0,441;0,591
"Durandé (MG)";312352;0,318;0,505;0,645;0,428;0,602;0,626;0,659;0,750;0,842;0,114;0,285;0,508
"Elói Mendes (MG)";312360;0,488;0,618;0,685;0,623;0,677;0,688;0,717;0,796;0,838;0,260;0,438;0,558
"Engenheiro Caldas (MG)";312370;0,416;0,547;0,644;0,527;0,559;0,632;0,651;0,715;0,815;0,210;0,410;0,518
"Engenheiro Navarro (MG)";312380;0,365;0,481;0,655;0,486;0,505;0,599;0,688;0,749;0,791;0,145;0,295;0,594
"Entre Folhas (MG)";312385;0,331;0,517;0,634;0,427;0,547;0,617;0,695;0,751;0,792;0,122;0,336;0,521
"Entre Rios de Minas (MG)";312390;0,386;0,569;0,672;0,504;0,614;0,673;0,706;0,761;0,802;0,162;0,394;0,563
"Ervália (MG)";312400;0,375;0,516;0,625;0,476;0,602;0,640;0,662;0,724;0,828;0,167;0,315;0,460
"Esmeraldas (MG)";312410;0,380;0,538;0,671;0,534;0,616;0,649;0,677;0,767;0,822;0,152;0,329;0,567
"Espera Feliz (MG)";312420;0,408;0,546;0,663;0,540;0,606;0,663;0,659;0,751;0,846;0,191;0,358;0,520
"Espinosa (MG)";312430;0,350;0,493;0,627;0,470;0,530;0,582;0,649;0,698;0,804;0,140;0,324;0,526
"Espírito Santo do Dourado (MG)";312440;0,443;0,582;0,685;0,554;0,625;0,660;0,718;0,776;0,847;0,218;0,406;0,576
"Estiva (MG)";312450;0,423;0,558;0,691;0,588;0,659;0,679;0,744;0,776;0,848;0,173;0,340;0,573
"Estrela Dalva (MG)";312460;0,381;0,592;0,710;0,592;0,668;0,719;0,687;0,771;0,867;0,136;0,403;0,574
"Estrela do Indaiá (MG)";312470;0,472;0,543;0,676;0,603;0,617;0,679;0,697;0,787;0,875;0,250;0,330;0,521
"Estrela do Sul (MG)";312480;0,442;0,581;0,696;0,561;0,593;0,694;0,728;0,799;0,840;0,212;0,414;0,579
"Eugenópolis (MG)";312490;0,405;0,585;0,675;0,522;0,634;0,660;0,690;0,762;0,846;0,184;0,414;0,551
"Ewbank da Câmara (MG)";312500;0,413;0,569;0,676;0,531;0,583;0,625;0,665;0,759;0,823;0,200;0,417;0,601
"Extrema (MG)";312510;0,475;0,607;0,732;0,636;0,678;0,729;0,700;0,761;0,849;0,241;0,434;0,633
"Fama (MG)";312520;0,483;0,619;0,717;0,615;0,664;0,700;0,710;0,816;0,863;0,258;0,438;0,610
"Faria Lemos (MG)";312530;0,415;0,545;0,687;0,518;0,619;0,678;0,683;0,723;0,800;0,202;0,361;0,598
"Felício dos Santos (MG)";312540;0,272;0,461;0,606;0,364;0,467;0,568;0,668;0,695;0,794;0,083;0,301;0,494
"Felisburgo (MG)";312560;0,344;0,461;0,583;0,467;0,516;0,577;0,650;0,705;0,744;0,134;0,269;0,462
"Felixlândia (MG)";312570;0,406;0,534;0,648;0,565;0,581;0,651;0,673;0,757;0,815;0,176;0,346;0,514
"Fernandes Tourinho (MG)";312580;0,339;0,507;0,646;0,419;0,512;0,608;0,636;0,720;0,807;0,146;0,354;0,550
"Ferros (MG)";312590;0,325;0,457;0,603;0,509;0,535;0,625;0,689;0,742;0,821;0,098;0,240;0,428
"Fervedouro (MG)";312595;0,230;0,451;0,580;0,437;0,560;0,583;0,683;0,762;0,796;0,041;0,215;0,420
"Florestal (MG)";312600;0,441;0,637;0,724;0,615;0,640;0,728;0,732;0,815;0,845;0,190;0,495;0,617
"Formiga (MG)";312610;0,482;0,655;0,755;0,599;0,665;0,729;0,744;0,825;0,874;0,251;0,513;0,676
"Formoso (MG)";312620;0,333;0,503;0,640;0,526;0,588;0,616;0,659;0,742;0,834;0,107;0,291;0,510
"Fortaleza de Minas (MG)";312630;0,422;0,582;0,670;0,561;0,612;0,683;0,734;0,792;0,805;0,182;0,407;0,546
"Fortuna de Minas (MG)";312640;0,399;0,560;0,696;0,528;0,587;0,651;0,659;0,743;0,845;0,182;0,402;0,613
"Francisco Badaró (MG)";312650;0,260;0,473;0,622;0,384;0,497;0,575;0,666;0,729;0,793;0,069;0,293;0,527
"Francisco Dumont (MG)";312660;0,332;0,444;0,625;0,502;0,508;0,596;0,603;0,697;0,797;0,121;0,248;0,513
"Franciscópolis (MG)";312675;0,203;0,399;0,603;0,430;0,432;0,581;0,606;0,695;0,802;0,032;0,211;0,471
"Francisco Sá (MG)";312670;0,358;0,480;0,654;0,476;0,517;0,605;0,652;0,733;0,808;0,148;0,291;0,572
"Frei Gaspar (MG)";312680;0,242;0,401;0,590;0,371;0,475;0,569;0,624;0,705;0,799;0,061;0,193;0,452
"Frei Inocêncio (MG)";312690;0,426;0,528;0,648;0,548;0,582;0,624;0,618;0,715;0,779;0,229;0,353;0,559
"Frei Lagonegro (MG)";312695;0,186;0,405;0,543;0,390;0,438;0,519;0,587;0,653;0,749;0,028;0,233;0,412
"Fronteira (MG)";312700;0,492;0,626;0,684;0,644;0,667;0,693;0,750;0,816;0,871;0,247;0,450;0,530
"Fronteira dos Vales (MG)";312705;0,328;0,421;0,592;0,425;0,439;0,556;0,613;0,723;0,813;0,135;0,235;0,460
"Fruta de Leite (MG)";312707;0,179;0,349;0,544;0,361;0,418;0,548;0,633;0,701;0,792;0,025;0,145;0,370
"Frutal (MG)";312710;0,516;0,643;0,730;0,650;0,692;0,730;0,754;0,830;0,865;0,280;0,462;0,615
"Funilândia (MG)";312720;0,414;0,546;0,655;0,580;0,595;0,612;0,660;0,750;0,844;0,185;0,365;0,545
"Galiléia (MG)";312730;0,370;0,531;0,654;0,522;0,580;0,645;0,618;0,715;0,795;0,157;0,361;0,546
"Gameleiras (MG)";312733;0,293;0,461;0,650;0,407;0,441;0,559;0,612;0,715;0,796;0,101;0,310;0,618
"Glaucilândia (MG)";312735;0,340;0,548;0,679;0,451;0,516;0,579;0,652;0,733;0,812;0,134;0,436;0,667
"Goiabeira (MG)";312737;0,342;0,529;0,647;0,468;0,538;0,628;0,592;0,713;0,799;0,145;0,385;0,539
"Goianá (MG)";312738;0,424;0,612;0,716;0,516;0,629;0,682;0,667;0,747;0,835;0,221;0,488;0,644
"Gonçalves (MG)";312740;0,399;0,574;0,683;0,572;0,628;0,671;0,717;0,801;0,833;0,155;0,375;0,570
"Gonzaga (MG)";312750;0,285;0,436;0,606;0,446;0,475;0,558;0,606;0,696;0,774;0,086;0,250;0,516
"Gouveia (MG)";312760;0,405;0,515;0,681;0,517;0,572;0,622;0,686;0,764;0,833;0,188;0,312;0,609
"Governador Valadares (MG)";312770;0,508;0,635;0,727;0,637;0,699;0,714;0,701;0,757;0,834;0,294;0,484;0,644
"Grão Mogol (MG)";312780;0,323;0,465;0,604;0,496;0,519;0,579;0,716;0,747;0,791;0,095;0,260;0,482
"Grupiara (MG)";312790;0,505;0,648;0,731;0,567;0,592;0,679;0,728;0,799;0,844;0,312;0,575;0,682
"Guanhães (MG)";312800;0,391;0,556;0,686;0,528;0,598;0,683;0,657;0,715;0,820;0,172;0,401;0,576
"Guapé (MG)";312810;0,394;0,580;0,679;0,540;0,617;0,661;0,717;0,788;0,831;0,158;0,402;0,570
"Guaraciaba (MG)";312820;0,285;0,473;0,623;0,433;0,540;0,618;0,617;0,689;0,794;0,087;0,284;0,493
"Guaraciama (MG)";312825;0,314;0,488;0,677;0,411;0,498;0,586;0,688;0,741;0,807;0,109;0,315;0,655
"Guaranésia (MG)";312830;0,447;0,599;0,701;0,584;0,673;0,693;0,733;0,782;0,845;0,209;0,409;0,589
"Guarani (MG)";312840;0,447;0,567;0,677;0,562;0,617;0,685;0,715;0,808;0,849;0,223;0,366;0,533
"Guarará (MG)";312850;0,456;0,571;0,652;0,550;0,653;0,650;0,664;0,760;0,802;0,259;0,376;0,532
"Guarda-Mor (MG)";312860;0,415;0,580;0,690;0,612;0,645;0,709;0,680;0,736;0,829;0,172;0,410;0,558
"Guaxupé (MG)";312870;0,532;0,652;0,751;0,647;0,692;0,729;0,758;0,811;0,880;0,307;0,495;0,659
"Guidoval (MG)";312880;0,423;0,562;0,683;0,531;0,639;0,669;0,665;0,759;0,837;0,214;0,366;0,569
"Guimarânia (MG)";312890;0,521;0,613;0,693;0,599;0,649;0,681;0,744;0,810;0,825;0,317;0,439;0,592
"Guiricema (MG)";312900;0,359;0,523;0,674;0,492;0,569;0,654;0,714;0,782;0,812;0,132;0,322;0,576
"Gurinhatã (MG)";312910;0,398;0,587;0,680;0,559;0,642;0,691;0,729;0,787;0,865;0,155;0,401;0,525
"Heliodora (MG)";312920;0,389;0,568;0,657;0,528;0,628;0,656;0,698;0,765;0,822;0,160;0,382;0,527
"Iapu (MG)";312930;0,341;0,521;0,654;0,513;0,557;0,639;0,712;0,751;0,819;0,109;0,338;0,535
"Ibertioga (MG)";312940;0,363;0,525;0,657;0,547;0,567;0,606;0,708;0,766;0,834;0,124;0,334;0,560
"Ibiá (MG)";312950;0,513;0,650;0,718;0,597;0,736;0,736;0,721;0,791;0,877;0,313;0,471;0,573
"Ibiaí (MG)";312960;0,296;0,498;0,614;0,451;0,498;0,565;0,695;0,749;0,795;0,083;0,332;0,516
"Ibiracatu (MG)";312965;0,292;0,399;0,591;0,440;0,423;0,537;0,621;0,697;0,786;0,091;0,216;0,489
"Ibiraci (MG)";312970;0,440;0,591;0,706;0,614;0,659;0,696;0,706;0,795;0,855;0,196;0,394;0,591
"Ibirité (MG)";312980;0,390;0,562;0,704;0,536;0,586;0,673;0,676;0,741;0,840;0,164;0,409;0,616
"Ibitiúra de Minas (MG)";312990;0,432;0,615;0,674;0,598;0,665;0,658;0,731;0,790;0,802;0,184;0,443;0,579
"Ibituruna (MG)";313000;0,486;0,580;0,675;0,564;0,587;0,639;0,680;0,715;0,823;0,299;0,466;0,584
