Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Nova Esperança do Sul (RS)";431303;0,526;0,593;0,735;0,601;0,625;0,723;0,750;0,805;0,848;0,322;0,414;0,647
"Nova Hartz (RS)";431306;0,436;0,578;0,689;0,615;0,651;0,694;0,707;0,792;0,836;0,191;0,374;0,563
"Nova Pádua (RS)";431308;0,525;0,688;0,761;0,631;0,778;0,762;0,782;0,842;0,852;0,294;0,498;0,678
"Nova Palma (RS)";431310;0,510;0,659;0,744;0,595;0,683;0,762;0,760;0,832;0,841;0,293;0,503;0,643
"Nova Petrópolis (RS)";431320;0,589;0,697;0,780;0,680;0,740;0,775;0,788;0,852;0,890;0,382;0,536;0,688
"Nova Prata (RS)";431330;0,586;0,689;0,766;0,664;0,732;0,782;0,763;0,814;0,839;0,397;0,550;0,686
"Nova Ramada (RS)";431333;0,416;0,576;0,742;0,663;0,641;0,752;0,720;0,782;0,847;0,151;0,381;0,642
"Nova Roma do Sul (RS)";431335;0,533;0,677;0,741;0,642;0,703;0,794;0,745;0,827;0,851;0,316;0,533;0,602
"Nova Santa Rita (RS)";431337;0,455;0,609;0,718;0,623;0,681;0,716;0,701;0,763;0,853;0,215;0,435;0,606
"Novo Barreiro (RS)";431349;0,368;0,552;0,706;0,426;0,555;0,734;0,729;0,763;0,808;0,160;0,397;0,594
"Novo Cabrais (RS)";431339;0,415;0,538;0,688;0,566;0,579;0,697;0,689;0,777;0,852;0,183;0,347;0,548
"Novo Hamburgo (RS)";431340;0,544;0,671;0,747;0,697;0,734;0,778;0,732;0,823;0,852;0,315;0,499;0,629
"Novo Machado (RS)";431342;0,447;0,560;0,663;0,530;0,597;0,674;0,738;0,777;0,796;0,228;0,379;0,543
"Novo Tiradentes (RS)";431344;0,406;0,538;0,676;0,475;0,529;0,679;0,705;0,757;0,805;0,200;0,389;0,566
"Novo Xingu (RS)";431346;0,412;0,585;0,767;0,497;0,611;0,749;0,751;0,803;0,850;0,188;0,408;0,708
"Osório (RS)";431350;0,565;0,671;0,751;0,672;0,709;0,769;0,788;0,831;0,853;0,341;0,513;0,646
"Paim Filho (RS)";431360;0,465;0,606;0,706;0,522;0,684;0,725;0,720;0,771;0,870;0,267;0,423;0,558
"Palmares do Sul (RS)";431365;0,498;0,609;0,715;0,649;0,651;0,725;0,754;0,793;0,852;0,253;0,437;0,592
"Palmeira das Missões (RS)";431370;0,500;0,635;0,737;0,618;0,678;0,722;0,750;0,789;0,831;0,270;0,478;0,667
"Palmitinho (RS)";431380;0,413;0,615;0,720;0,500;0,635;0,707;0,705;0,772;0,836;0,200;0,474;0,632
"Panambi (RS)";431390;0,537;0,688;0,761;0,606;0,700;0,752;0,762;0,831;0,848;0,336;0,559;0,691
"Pantano Grande (RS)";431395;0,444;0,589;0,661;0,581;0,638;0,676;0,696;0,736;0,816;0,216;0,436;0,524
"Paraí (RS)";431400;0,566;0,678;0,773;0,661;0,731;0,787;0,780;0,820;0,866;0,352;0,521;0,679
"Paraíso do Sul (RS)";431402;0,441;0,557;0,676;0,605;0,621;0,692;0,696;0,767;0,831;0,203;0,363;0,537
"Pareci Novo (RS)";431403;0,478;0,660;0,749;0,639;0,686;0,738;0,780;0,841;0,852;0,219;0,499;0,668
"Parobé (RS)";431405;0,444;0,600;0,704;0,628;0,658;0,700;0,760;0,819;0,886;0,183;0,400;0,562
"Passa Sete (RS)";431406;0,300;0,503;0,622;0,494;0,529;0,639;0,681;0,776;0,782;0,080;0,310;0,482
