"NM_MUNICIPIO_CONVENENTE","cod7","total.pjs","documentos.liquidacao","licitacao","dispensa","beneficiarios.pjs","acima10K","acima1M","top10pc.quanto"
"CARAUBAS DO PIAUI",2202539,150833.2,2,1,0,1,1,0,1
"CARAVELAS",2906907,1222750,8,1,0,1,1,1,1
"CARAZINHO",4304705,1263470.82,22,1,0,4,4,0,0.72349118438683
"CARBONITA",3113503,425807.67,8,1,0,2,2,0,0.609592941338985
"CARDOSO",3510708,139510.86,6,1,0,3,2,0,0.784311701612333
"CARDOSO MOREIRA",3301157,180624.49,2,1,0,1,1,0,1
"CAREACU",3113602,175000,4,1,0,4,4,0,0.482857142857143
"CAREIRO",1301100,11335506.55,2,1,0,1,1,1,1
"CAREIRO DA VARZEA",1301159,1572829,5,1,0,2,2,1,0.656720469930298
"CARIACICA",3201308,203559.86,5,1,0,4,4,0,0.367950734491564
"CARIDADE DO PIAUI",2202554,552090.35,12,0.975770270210302,0.0242297297896984,3,3,0,0.462521252182727
"CARINHANHA",2907103,264086.29,8,1,0,1,1,0,1
"CARIRI DO TOCANTINS",1703867,255300,6,1,0,1,1,0,1
"CARIRIACU",2303204,87802.09,4,1,0,1,1,0,1
