"n1","n2","n3","n4","n5","n6","origem","origem.nome","n1.nome","n2.nome","n3.nome"
4116109,3139607,3123908,2201903,4103057,5006408,1502152,"Canaã dos Carajás PA","Moreira Sales PR","Mantena MG","Entre Rios de Minas MG"
1506500,2309607,2613701,2806701,1501501,2608909,1502202,"Capanema PA","Santa Isabel do Pará PA","Pacajus CE","São Lourenço da Mata PE"
2914000,2204402,2933505,1505064,3130556,1504703,1502301,"Capitão Poço PA","Ipirá BA","Gilbués PI","Wenceslau Guimarães BA"
2918407,2918001,3304144,2925303,2606002,2602902,1502400,"Castanhal PA","Juazeiro BA","Jequié BA","Queimados RJ"
1301951,1505809,1500701,1501105,1503457,1504505,1502509,"Chaves PA","Itamarati AM","Portel PA","Anajás PA"
2604403,2307908,1720804,2605905,2511004,2309409,1502608,"Colares PA","Chã de Alegria PE","Martinópole CE","Sítio Novo do Tocantins TO"
2905008,1300144,2208403,2506202,2922508,2928604,1502707,"Conceição do Araguaia PA","Caculé BA","Apuí AM","Piripiri PI"
2801207,2409803,3146750,2925006,2405504,2915353,1502756,"Concórdia do Pará PA","Canindé de São Francisco SE","Pedro Velho RN","Palmópolis MG"
5102603,3166105,4105201,3166303,1507755,2920700,1502764,"Cumaru do Norte PA","Campinápolis MT","Senhora do Porto MG","Cerro Azul PR"
3113107,3165503,5214903,4108650,3125507,3120003,1502772,"Curionópolis PA","Caranaíba MG","Sardoá MG","Nova Roma GO"
1505908,1503101,2912608,2202729,1302306,1500206,1502806,"Curralinho PA","Porto de Moz PA","Gurupá PA","Ibiquera BA"
2205524,1303007,2106409,2106102,2405306,1506906,1502855,"Curuá PA","Júlio Borges PI","Nhamundá AM","Mata Roma MA"
2107357,2925253,2703403,2209906,2709400,1505601,1502905,"Curuçá PA","Nova Olinda do Maranhão MA","Ponto Novo BA","Jacaré dos Homens AL"
